env,scenario,nEd,sf,oobPeriodNormal,oobPeriodFail,failStart,failEnd,seed,run,oobTx,oobRx,oobPdr,latP50,latWinP50,oobTxWin,oobRxWin,winPdr,inTxTotal,inAckRxTotal,inAckPdr,inTxWin,inAckRxWin,inAckWinPdr,detTdP50
indoor,C0,20,7,900,120,0,0,1,1,40,38,0.95,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,2,40,39,0.975,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,3,40,40,1,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,4,40,38,0.95,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,5,40,37,0.925,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,6,39,37,0.948718,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,7,40,40,1,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,8,40,40,1,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,9,39,37,0.948718,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,10,40,39,0.975,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,11,40,40,1,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,12,40,38,0.95,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,13,40,40,1,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,14,40,40,1,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,15,40,36,0.9,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,16,40,39,0.975,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,17,40,39,0.975,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,18,40,36,0.9,0.0616133,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,19,40,39,0.975,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,20,40,39,0.975,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,21,40,40,1,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,22,40,39,0.975,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,23,40,39,0.975,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,24,40,39,0.975,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,25,40,37,0.925,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,26,40,38,0.95,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,27,40,36,0.9,0.0616133,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,28,40,38,0.95,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,29,40,39,0.975,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,30,40,40,1,0.0616134,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
